crop_renamed,fertiliser_type,residue_policy,scen_label,mean_resp,sd_resp,n_rot
Winter Wheat,Mineral fertiliser,NA,Tmp +3degC C,11.750879453343357,NA,1
Winter Wheat,Mineral fertiliser,NA,Tmp -2degC C,-26.15690381696591,NA,1
Winter Wheat,Mineral fertiliser,NA,Tmp -3degC C,-38.725781880938186,NA,1
Winter Wheat,Mineral fertiliser,NA,Tmp 0degC C,-2.1563785044762978,NA,1
Winter Wheat,Mineral fertiliser,NA,Tmp 0degC E,-2.8052516128544354,NA,1
Winter Wheat,Mineral fertiliser,NA,Tmp 0degC W,-2.1825099962406194,NA,1
Winter Wheat,Mineral fertiliser,NA,Wind -20% C,-0.8834102584456929,NA,1
Winter Wheat,Mineral fertiliser,NA,Wind -30% C,-1.078695298392238,NA,1
Winter Wheat,Mineral fertiliser,NA,Wind -40% C,-1.2969170326965545,NA,1
Winter Wheat,Mineral fertiliser,NA,Wind -50% C,-1.5347709190029755,NA,1
Winter Wheat,Mineral fertiliser,NA,Wind -60% C,-1.7661864349633671,NA,1
Winter Wheat,Mineral fertiliser,NA,Wind -70% C,-2.017819409320968,NA,1
Winter Wheat,Mineral fertiliser,NA,Wind 0% C,-0.4803048665909729,NA,1
Winter Wheat,Mineral fertiliser,NA,Wind 0% E,-0.4308220884390501,NA,1
Winter Wheat,Mineral fertiliser,NA,Wind 0% W,-0.5694787346602385,NA,1
Winter Wheat,Biogas digestate,Residue removed,Rad -10% C,-37.33917282826398,5.877096241267236,4
Winter Wheat,Biogas digestate,Residue removed,Rad -20% C,-51.1845612721476,6.422096372568638,4
Winter Wheat,Biogas digestate,Residue removed,Rad -30% C,-66.04367646330601,4.8990353890915594,4
Winter Wheat,Biogas digestate,Residue removed,Rad -5% C,-31.225748069563966,5.147377371440812,4
Winter Wheat,Biogas digestate,Residue removed,Rad 0% C,-24.875449944599946,3.9883457401133233,4
Winter Wheat,Biogas digestate,Residue removed,Rad 0% E,-39.11471274488311,7.017259757779075,4
Winter Wheat,Biogas digestate,Residue removed,Rad 0% W,-47.68158486782935,7.616207137178843,4
Winter Wheat,Biogas digestate,Residue removed,Tmp +0.5degC C,0.9390436633912425,2.465549556516611,4
Winter Wheat,Biogas digestate,Residue removed,Tmp +1degC C,4.740490126882724,3.795547665327906,4
Winter Wheat,Biogas digestate,Residue removed,Tmp +2degC C,8.224669046694247,5.6015443281859705,4
Winter Wheat,Biogas digestate,Residue removed,Tmp +3degC C,0.4683817348313249,8.819529795657884,4
Winter Wheat,Biogas digestate,Residue removed,Tmp -2degC C,-33.48969404397999,10.89301923439814,4
Winter Wheat,Biogas digestate,Residue removed,Tmp -3degC C,-52.53371563426653,13.966045618583468,4
Winter Wheat,Biogas digestate,Residue removed,Tmp 0degC C,-3.8049885728641355,5.077378051285987,4
Winter Wheat,Biogas digestate,Residue removed,Tmp 0degC E,-4.135279512384805,5.2215883833318015,4
Winter Wheat,Biogas digestate,Residue removed,Tmp 0degC W,-3.8559945771722366,4.908543770625616,4
Winter Wheat,Biogas digestate,Residue removed,Wind -20% C,-1.6367619917935707,0.9354686712118037,4
Winter Wheat,Biogas digestate,Residue removed,Wind -30% C,-1.9903783237441215,1.0680408784126236,4
Winter Wheat,Biogas digestate,Residue removed,Wind -40% C,-2.279566998477918,1.2308373147308844,4
Winter Wheat,Biogas digestate,Residue removed,Wind -50% C,-2.6837731226934136,1.2166023849306156,4
Winter Wheat,Biogas digestate,Residue removed,Wind -60% C,-3.4886703219432724,1.0127991749240113,4
Winter Wheat,Biogas digestate,Residue removed,Wind -70% C,-3.8055260826532384,1.0802792618373485,4
Winter Wheat,Biogas digestate,Residue removed,Wind 0% C,-1.0575045750449992,0.7789509410990043,4
Winter Wheat,Biogas digestate,Residue removed,Wind 0% E,-0.98759434750741,0.8144345034697656,4
Winter Wheat,Biogas digestate,Residue removed,Wind 0% W,-1.1750811861252883,0.7647802803201644,4
Winter Wheat,Biogas digestate,Residue retained,Rad -10% C,-39.565436368105296,4.983922803045429,4
Winter Wheat,Biogas digestate,Residue retained,Rad -20% C,-53.74010653591405,4.743320670541667,4
Winter Wheat,Biogas digestate,Residue retained,Rad -30% C,-67.82119750748096,3.7908182943727593,4
Winter Wheat,Biogas digestate,Residue retained,Rad -5% C,-33.25778440003083,4.633072768618302,4
Winter Wheat,Biogas digestate,Residue retained,Rad 0% C,-27.08243606011636,3.334332922735269,4
Winter Wheat,Biogas digestate,Residue retained,Rad 0% E,-41.43681824047708,5.8957822801737985,4
Winter Wheat,Biogas digestate,Residue retained,Rad 0% W,-50.08253790000482,6.210859697545536,4
Winter Wheat,Biogas digestate,Residue retained,Tmp +0.5degC C,0.5471943203276886,2.0864634772523747,4
Winter Wheat,Biogas digestate,Residue retained,Tmp +1degC C,2.3404680069134223,3.2583793991046925,4
Winter Wheat,Biogas digestate,Residue retained,Tmp +2degC C,4.711003616164357,3.5950043610142313,4
Winter Wheat,Biogas digestate,Residue retained,Tmp +3degC C,-3.415366182325093,6.61413937723872,4
Winter Wheat,Biogas digestate,Residue retained,Tmp -2degC C,-34.29780893082235,10.815783896757585,4
Winter Wheat,Biogas digestate,Residue retained,Tmp -3degC C,-54.45180681225178,13.056824443852582,4
Winter Wheat,Biogas digestate,Residue retained,Tmp 0degC C,-3.5733285440539424,3.672141028657057,4
Winter Wheat,Biogas digestate,Residue retained,Tmp 0degC E,-3.824299615891315,3.8044314678101006,4
Winter Wheat,Biogas digestate,Residue retained,Tmp 0degC W,-3.3902352766811985,3.6692534076554533,4
Winter Wheat,Biogas digestate,Residue retained,Wind -20% C,-1.330611596255165,0.6086024739381409,4
Winter Wheat,Biogas digestate,Residue retained,Wind -30% C,-1.6631552089389567,0.7918392454275563,4
Winter Wheat,Biogas digestate,Residue retained,Wind -40% C,-1.989986117014484,0.9513981706163073,4
Winter Wheat,Biogas digestate,Residue retained,Wind -50% C,-2.474965203883399,0.8871309235043995,4
Winter Wheat,Biogas digestate,Residue retained,Wind -60% C,-3.1876297403919285,0.991635476329935,4
Winter Wheat,Biogas digestate,Residue retained,Wind -70% C,-3.5182300970639155,1.0561231332482401,4
Winter Wheat,Biogas digestate,Residue retained,Wind 0% C,-0.7560077458016679,0.36651732363349115,4
Winter Wheat,Biogas digestate,Residue retained,Wind 0% E,-0.7038426763293312,0.38775104713741027,4
Winter Wheat,Biogas digestate,Residue retained,Wind 0% W,-0.8691099133088518,0.371623513332862,4
