depth,management_label,scen_label,mean_delta_soc_pct,sd_delta_soc_pct,mean_absolute_change_tC_ha,driver
0-30 cm,Biogas digestate | Residue Removed,Rad -10%,-3.0179788727817276,1.2055967982681988,-2.1692750000000087,Radiation
30-60 cm,Mineral fertiliser | Residue Retained,Rad 0%,-2.8326104071598888,0.7427583455889981,-0.942474999999995,Radiation
30-60 cm,Mineral fertiliser | Residue Retained,Tmp +0.5degC,0.46018116868138736,0.6564792951214395,0.15270000000000436,Temperature
30-60 cm,Mineral fertiliser | Residue Retained,Tmp +1degC,0.7632075111254217,0.9689513489473339,0.25282500000000435,Temperature
30-60 cm,Mineral fertiliser | Residue Retained,Tmp +2degC,1.7261998702145078,0.4374390654340063,0.5734750000000022,Temperature
30-60 cm,Mineral fertiliser | Residue Retained,Tmp +3degC,1.5737342270746604,0.37457935224013433,0.5228249999999934,Temperature
30-60 cm,Mineral fertiliser | Residue Retained,Tmp -2degC,-2.1421221887641537,0.5786753843600143,-0.7133499999999913,Temperature
30-60 cm,Mineral fertiliser | Residue Retained,Tmp -3degC,-3.736995994893058,0.4915448730322301,-1.2435999999999985,Temperature
30-60 cm,Mineral fertiliser | Residue Retained,Tmp 0degC,-0.13854211479720327,0.7751392170629398,-0.04664999999999418,Temperature
60+ cm,Biogas digestate | Residue Removed,Rad -10%,-0.5321490176665885,0.11001783414843515,-0.22061575000000083,Radiation
60+ cm,Biogas digestate | Residue Removed,Rad -20%,-0.639279247873056,0.10011875502895758,-0.2650105000000003,Radiation
60+ cm,Biogas digestate | Residue Removed,Rad -30%,-0.8380053423456704,0.11557574068809462,-0.3473817500000005,Radiation
60+ cm,Biogas digestate | Residue Removed,Rad -5%,-0.48714066780724413,0.12528910846392427,-0.2019707499999986,Radiation
60+ cm,Biogas digestate | Residue Removed,Rad 0%,-0.4320178073208455,0.08070448805052129,-0.17909549999999944,Radiation
60+ cm,Biogas digestate | Residue Removed,Tmp +0.5degC,0.03162879575183093,0.13284298133493125,0.013087500000001456,Temperature
60+ cm,Biogas digestate | Residue Removed,Tmp +1degC,0.2715606610826728,0.09378115687757993,0.11250625000000036,Temperature
60+ cm,Biogas digestate | Residue Removed,Tmp +2degC,0.44940436351501617,0.11970873157448926,0.18620050000000082,Temperature
60+ cm,Biogas digestate | Residue Removed,Tmp +3degC,0.5042865612947942,0.17674419400192734,0.208919249999999,Temperature
60+ cm,Biogas digestate | Residue Removed,Tmp -2degC,-0.3358756419425907,0.14001843657520527,-0.13928800000000047,Temperature
60+ cm,Biogas digestate | Residue Removed,Tmp -3degC,-0.5709497285503362,0.1476769489644859,-0.23670450000000165,Temperature
60+ cm,Biogas digestate | Residue Removed,Tmp 0degC,0.0015895215196915606,0.08369308251368611,6.205000000009022e-4,Temperature
60+ cm,Biogas digestate | Residue Retained,Rad -10%,-0.5363645721788893,0.1291780275430245,-0.22238924999999835,Radiation
60+ cm,Biogas digestate | Residue Retained,Rad -20%,-0.6892384050707099,0.1423172223697099,-0.2857554999999975,Radiation
60+ cm,Biogas digestate | Residue Retained,Rad -30%,-0.8595105331534583,0.15218595422871894,-0.35635949999999866,Radiation
60+ cm,Biogas digestate | Residue Retained,Rad -5%,-0.47077075365683896,0.14005232730835823,-0.19521724999999787,Radiation
60+ cm,Biogas digestate | Residue Retained,Rad 0%,-0.40050799756822,0.13893629672296282,-0.16607674999999653,Radiation
60+ cm,Biogas digestate | Residue Retained,Tmp +0.5degC,0.13234093024931667,0.16460010456236132,0.05481275000000096,Temperature
60+ cm,Biogas digestate | Residue Retained,Tmp +1degC,0.23386737720690276,0.11175545752054024,0.0969375,Temperature
