management_label,scen_label,value,outcome,driver,relative_yield_pct
Biogas digestate | Residue Removed,Wind -20%,-0.09460043633203298,"Δ Total SOC, 0–30 cm",Wind,100.267411578364
Biogas digestate | Residue Removed,Wind -30%,-0.11963891056895447,"Δ Total SOC, 0–30 cm",Wind,100.32657603241502
Biogas digestate | Residue Removed,Wind -40%,-0.13815635844866972,"Δ Total SOC, 0–30 cm",Wind,100.38345247926217
Biogas digestate | Residue Removed,Wind -50%,-0.15639895996698705,"Δ Total SOC, 0–30 cm",Wind,100.43147794741492
Biogas digestate | Residue Removed,Wind -60%,-0.5071408579593899,"Δ Total SOC, 0–30 cm",Wind,98.50790479900722
Biogas digestate | Residue Removed,Wind -70%,-0.5291137038587977,"Δ Total SOC, 0–30 cm",Wind,98.57619408001827
Biogas digestate | Residue Removed,Wind 0%,-0.057797371104439214,"Δ Total SOC, 0–30 cm",Wind,100.13429843852367
Biogas digestate | Residue Retained,Rad -10%,-3.5850668646542294,"Δ Total SOC, 0–30 cm",Radiation,63.61621599040766
Biogas digestate | Residue Retained,Rad -20%,-4.614469083531148,"Δ Total SOC, 0–30 cm",Radiation,50.66326974488452
Biogas digestate | Residue Retained,Rad -30%,-5.388492451450057,"Δ Total SOC, 0–30 cm",Radiation,37.86035422634616
Biogas digestate | Residue Retained,Rad -5%,-2.90072065047072,"Δ Total SOC, 0–30 cm",Radiation,69.38891606312518
Biogas digestate | Residue Retained,Rad 0%,-2.2290786969408543,"Δ Total SOC, 0–30 cm",Radiation,74.97302029798523
Biogas digestate | Residue Retained,Tmp +0.5degC,0.15626414913059483,"Δ Total SOC, 0–30 cm",Temperature,100.49089314623834
Biogas digestate | Residue Retained,Tmp +1degC,-0.5118810676907501,"Δ Total SOC, 0–30 cm",Temperature,104.16696773055861
Biogas digestate | Residue Retained,Tmp +2degC,-1.6570451804930768,"Δ Total SOC, 0–30 cm",Temperature,107.69440588323096
Biogas digestate | Residue Retained,Tmp +3degC,-3.7917023891171393,"Δ Total SOC, 0–30 cm",Temperature,101.71207231734653
Biogas digestate | Residue Retained,Tmp -2degC,8.549315817249592,"Δ Total SOC, 0–30 cm",Temperature,59.4843565240977
Biogas digestate | Residue Retained,Tmp -3degC,10.79883054386196,"Δ Total SOC, 0–30 cm",Temperature,39.389765280169094
Biogas digestate | Residue Retained,Tmp 0degC,0.6142146061131244,"Δ Total SOC, 0–30 cm",Temperature,94.45651322360143
Biogas digestate | Residue Retained,Wind -20%,-0.04305298741292969,"Δ Total SOC, 0–30 cm",Wind,99.42433080117398
Biogas digestate | Residue Retained,Wind -30%,-0.06429541672931242,"Δ Total SOC, 0–30 cm",Wind,99.25869820078846
Biogas digestate | Residue Retained,Wind -40%,-0.08071226219192058,"Δ Total SOC, 0–30 cm",Wind,99.08164724201944
