component,scen_label,mean_mm,sd_mm,n_rotation_years,driver
Surface runoff,Tmp +3degC,0,0,108,Temperature
Surface runoff,Tmp -2degC,0,0,108,Temperature
Surface runoff,Tmp -3degC,0,0,108,Temperature
Surface runoff,Tmp 0degC,0,0,108,Temperature
Surface runoff,Wind -20%,0,0,108,Wind
Surface runoff,Wind -30%,0,0,108,Wind
Surface runoff,Wind -40%,0,0,108,Wind
Surface runoff,Wind -50%,0,0,108,Wind
Surface runoff,Wind -60%,0,0,108,Wind
Surface runoff,Wind -70%,0,0,108,Wind
Surface runoff,Wind 0%,0,0,108,Wind
Precipitation,Reference,672.8518518518518,123.07175741482733,108,Radiation
Precipitation,Reference,672.8518518518518,123.07175741482733,108,Temperature
Precipitation,Reference,672.8518518518518,123.07175741482733,108,Wind
Potential ET,Reference,505.78303703703705,55.993558833992786,108,Radiation
Potential ET,Reference,505.78303703703705,55.993558833992786,108,Temperature
Potential ET,Reference,505.78303703703705,55.993558833992786,108,Wind
Actual ET,Reference,486.25877777777777,53.44108363235745,108,Radiation
Actual ET,Reference,486.25877777777777,53.44108363235745,108,Temperature
Actual ET,Reference,486.25877777777777,53.44108363235745,108,Wind
Percolation (below profile),Reference,183.77725185185184,107.2491886023556,108,Radiation
Percolation (below profile),Reference,183.77725185185184,107.2491886023556,108,Temperature
Percolation (below profile),Reference,183.77725185185184,107.2491886023556,108,Wind
Drain flow (lateral),Reference,0,0,108,Radiation
Drain flow (lateral),Reference,0,0,108,Temperature
Drain flow (lateral),Reference,0,0,108,Wind
Surface runoff,Reference,0,0,108,Radiation
Surface runoff,Reference,0,0,108,Temperature
Surface runoff,Reference,0,0,108,Wind
