fertilisation,residue,weather_scenario,weather_factor,weather_signed_change_pct,strip_position,weather_is_baseline,system_asy_MgDM_ha_yr,sd_across_rotations,n_rotations,signed_level,wf,scen_label,reference_asy,relative_yield_pct,management_label,leaching_kgN_ha,leaching_sd_kgN_ha,driver,yield_metric
Biogas digestate,Residue Retained,weatherTmp2dwnCenter,Temperature,-2,Center,FALSE,1.2349973597222221,0.26785766696630536,4,-2,Temperature,Tmp -2degC,2.0761716725,59.4843565240977,Biogas digestate | Residue Retained,17.083207585092595,4.282933302349661,Temperature,All-crop ASY AGB
Biogas digestate,Residue Retained,weatherTmp2upCenter,Temperature,2,Center,FALSE,2.2359207478148146,0.173166771036948,4,2,Temperature,Tmp +2degC,2.0761716725,107.69440588323096,Biogas digestate | Residue Retained,30.189682258333335,3.5747736528242,Temperature,All-crop ASY AGB
Biogas digestate,Residue Retained,weatherTmp3dwnCenter,Temperature,-3,Center,FALSE,0.8177991486111111,0.25274900011163126,4,-3,Temperature,Tmp -3degC,2.0761716725,39.389765280169094,Biogas digestate | Residue Retained,15.560137028333333,4.344584195387017,Temperature,All-crop ASY AGB
Biogas digestate,Residue Retained,weatherTmp3upCenter,Temperature,3,Center,FALSE,2.111717232965463,0.1799616913313326,4,3,Temperature,Tmp +3degC,2.0761716725,101.71207231734653,Biogas digestate | Residue Retained,30.28326547537037,2.1918086584112846,Temperature,All-crop ASY AGB
Biogas digestate,Residue Retained,weatherWin0Center,Wind,0,Center,FALSE,2.0700265907407407,0.1824199974300358,4,0,Wind,Wind 0%,2.0761716725,99.70401861076064,Biogas digestate | Residue Retained,27.333573269351852,2.277534923060487,Wind,All-crop ASY AGB
Biogas digestate,Residue Retained,weatherWin20dwnCenter,Wind,-20,Center,FALSE,2.0642197916666665,0.1844767620146714,4,-20,Wind,Wind -20%,2.0761716725,99.42433080117398,Biogas digestate | Residue Retained,27.14767010925926,2.214399855596081,Wind,All-crop ASY AGB
Biogas digestate,Residue Retained,weatherWin30dwnCenter,Wind,-30,Center,FALSE,2.060780974537037,0.18633990324644353,4,-30,Wind,Wind -30%,2.0761716725,99.25869820078846,Biogas digestate | Residue Retained,27.040574819444444,2.177575693290283,Wind,All-crop ASY AGB
Biogas digestate,Residue Retained,weatherWin40dwnCenter,Wind,-40,Center,FALSE,2.0571050926851853,0.18752386241091495,4,-40,Wind,Wind -40%,2.0761716725,99.08164724201944,Biogas digestate | Residue Retained,26.953290843703705,2.1631852842034944,Wind,All-crop ASY AGB
Biogas digestate,Residue Retained,weatherWin50dwnCenter,Wind,-50,Center,FALSE,2.0506741773148147,0.1832815708491977,4,-50,Wind,Wind -50%,2.0761716725,98.77189851287766,Biogas digestate | Residue Retained,26.804580626203705,2.2136545181512055,Wind,All-crop ASY AGB
Biogas digestate,Residue Retained,weatherWin60dwnCenter,Wind,-60,Center,FALSE,2.040230076574074,0.18602682805760873,4,-60,Wind,Wind -60%,2.0761716725,98.26885240743857,Biogas digestate | Residue Retained,26.200474215,2.4420159983895195,Wind,All-crop ASY AGB
Biogas digestate,Residue Retained,weatherWin70dwnCenter,Wind,-70,Center,FALSE,2.0362343989814815,0.18618533057381714,4,-70,Wind,Wind -70%,2.0761716725,98.07639830330463,Biogas digestate | Residue Retained,26.072696731203703,2.422298585266434,Wind,All-crop ASY AGB
Mineral fertiliser,Residue Removed,weatherBaselineopen,Baseline,0,Open field,TRUE,11.136679941489815,0.8177644120753297,4,0,Reference,Reference,11.136679941489815,100,Mineral fertiliser | Residue Removed,22.633917417592592,1.8477363677431409,Open field,All-crop ASY AGB
Mineral fertiliser,Residue Removed,weatherRad0Center,Radiation,0,Center,FALSE,8.81015492612148,1.0660540915114733,4,0,Radiation,Rad 0%,11.136679941489815,79.10934831932413,Mineral fertiliser | Residue Removed,21.415185224537037,2.5113576045430626,Radiation,All-crop ASY AGB
Mineral fertiliser,Residue Removed,weatherRad10dwnCenter,Radiation,-10,Center,FALSE,8.16960559438111,0.6549145551710212,4,-10,Radiation,Rad -10%,11.136679941489815,73.35764013424827,Mineral fertiliser | Residue Removed,21.732920133333334,3.3076322708566863,Radiation,All-crop ASY AGB
Mineral fertiliser,Residue Removed,weatherRad20dwnCenter,Radiation,-20,Center,FALSE,7.601004146919444,0.3256996895277763,4,-20,Radiation,Rad -20%,11.136679941489815,68.2519762339746,Mineral fertiliser | Residue Removed,21.505685494444442,4.892255211118629,Radiation,All-crop ASY AGB
Mineral fertiliser,Residue Removed,weatherRad30dwnCenter,Radiation,-30,Center,FALSE,6.626647482281111,0.34356344479156264,4,-30,Radiation,Rad -30%,11.136679941489815,59.502899581350704,Mineral fertiliser | Residue Removed,20.205875725925925,2.933188990115216,Radiation,All-crop ASY AGB
