fertilisation,residue,weather_scenario,weather_factor,weather_signed_change_pct,strip_position,weather_is_baseline,system_asy_MgDM_ha_yr,sd_across_rotations,n_rotations,signed_level,wf,scen_label,reference_asy,relative_yield_pct,management_label,leaching_kgN_ha,leaching_sd_kgN_ha,driver,yield_metric
Biogas digestate,Residue Retained,weatherTmp1upCenter,Temperature,1,Center,FALSE,5.240393481060606,0.4292084418970448,4,1,Temperature,Tmp +1degC,5.041875386363636,103.93738598208685,Biogas digestate | Residue Retained,27.92245716962963,0.9952612798853754,Temperature,Grain ASY (WW + SY)
Biogas digestate,Residue Retained,weatherTmp2dwnCenter,Temperature,-2,Center,FALSE,3.0269018354166666,0.6199490681004509,4,-2,Temperature,Tmp -2degC,5.041875386363636,60.03523695970928,Biogas digestate | Residue Retained,17.083207585092595,4.282933302349661,Temperature,Grain ASY (WW + SY)
Biogas digestate,Residue Retained,weatherTmp2upCenter,Temperature,2,Center,FALSE,5.385415193181818,0.2907345453332091,4,2,Temperature,Tmp +2degC,5.041875386363636,106.8137306159396,Biogas digestate | Residue Retained,30.189682258333335,3.5747736528242,Temperature,Grain ASY (WW + SY)
Biogas digestate,Residue Retained,weatherTmp3dwnCenter,Temperature,-3,Center,FALSE,2.0067731740340906,0.6057434339629711,4,-3,Temperature,Tmp -3degC,5.041875386363636,39.80211766958089,Biogas digestate | Residue Retained,15.560137028333333,4.344584195387017,Temperature,Grain ASY (WW + SY)
Biogas digestate,Residue Retained,weatherTmp3upCenter,Temperature,3,Center,FALSE,5.060139871212121,0.26667646426438685,4,3,Temperature,Tmp +3degC,5.041875386363636,100.3622557768461,Biogas digestate | Residue Retained,30.28326547537037,2.1918086584112846,Temperature,Grain ASY (WW + SY)
Biogas digestate,Residue Retained,weatherWin0Center,Wind,0,Center,FALSE,5.025725928030303,0.34875279706186185,4,0,Wind,Wind 0%,5.041875386363636,99.67969342564452,Biogas digestate | Residue Retained,27.333573269351852,2.277534923060487,Wind,Grain ASY (WW + SY)
Biogas digestate,Residue Retained,weatherWin20dwnCenter,Wind,-20,Center,FALSE,5.0108392348484845,0.3444419680628674,4,-20,Wind,Wind -20%,5.041875386363636,99.3844323959475,Biogas digestate | Residue Retained,27.14767010925926,2.214399855596081,Wind,Grain ASY (WW + SY)
Biogas digestate,Residue Retained,weatherWin30dwnCenter,Wind,-30,Center,FALSE,5.001818492424242,0.34109541534576365,4,-30,Wind,Wind -30%,5.041875386363636,99.20551598621947,Biogas digestate | Residue Retained,27.040574819444444,2.177575693290283,Wind,Grain ASY (WW + SY)
Biogas digestate,Residue Retained,weatherWin40dwnCenter,Wind,-40,Center,FALSE,4.992293359848485,0.33775835327756465,4,-40,Wind,Wind -40%,5.041875386363636,99.01659555789,Biogas digestate | Residue Retained,26.953290843703705,2.1631852842034944,Wind,Grain ASY (WW + SY)
Biogas digestate,Residue Retained,weatherWin50dwnCenter,Wind,-50,Center,FALSE,4.976688965909091,0.3311814441302409,4,-50,Wind,Wind -50%,5.041875386363636,98.70709973057149,Biogas digestate | Residue Retained,26.804580626203705,2.2136545181512055,Wind,Grain ASY (WW + SY)
Biogas digestate,Residue Retained,weatherWin60dwnCenter,Wind,-60,Center,FALSE,4.951884852272727,0.3307447540727499,4,-60,Wind,Wind -60%,5.041875386363636,98.21513767804933,Biogas digestate | Residue Retained,26.200474215,2.4420159983895195,Wind,Grain ASY (WW + SY)
Biogas digestate,Residue Retained,weatherWin70dwnCenter,Wind,-70,Center,FALSE,4.941707821969697,0.3266674488952573,4,-70,Wind,Wind -70%,5.041875386363636,98.01328758213948,Biogas digestate | Residue Retained,26.072696731203703,2.422298585266434,Wind,Grain ASY (WW + SY)
Mineral fertiliser,Residue Removed,weatherBaselineopen,Baseline,0,Open field,TRUE,4.609862946969697,0.3365150801736112,4,0,Reference,Reference,4.609862946969697,100,Mineral fertiliser | Residue Removed,22.633917417592592,1.8477363677431409,Open field,Grain ASY (WW + SY)
Mineral fertiliser,Residue Removed,weatherRad0Center,Radiation,0,Center,FALSE,3.668359634469697,0.34958002274077893,4,0,Radiation,Rad 0%,4.609862946969697,79.57632746719945,Mineral fertiliser | Residue Removed,21.415185224537037,2.5113576045430626,Radiation,Grain ASY (WW + SY)
