crop_renamed,fertiliser_type,residue_policy,scen_label,mean_resp,sd_resp,n_rot,driver,is_reference,is_vapv_zero
Soybean,Biogas digestate,Residue removed,Wind 0%,5.925462158333334,0.275019464646833,4,Wind,FALSE,TRUE
Ryegrass (undersown),Biogas digestate,Residue removed,Wind 0%,0.6136656215416667,0.1379337410566013,4,Wind,FALSE,TRUE
Grass-Clover,Biogas digestate,Residue removed,Wind 0%,15.367761256041668,1.8517601635608398,4,Wind,FALSE,TRUE
Winter Wheat,Biogas digestate,Residue removed,Wind -20%,8.728224669166666,0.7016178145756047,4,Wind,FALSE,FALSE
Spring Barley,Biogas digestate,Residue removed,Wind -20%,11.054056905666668,1.4808485784451582,4,Wind,FALSE,FALSE
Soybean,Biogas digestate,Residue removed,Wind -20%,5.9505426083333335,0.268180951450041,4,Wind,FALSE,FALSE
Ryegrass (undersown),Biogas digestate,Residue removed,Wind -20%,0.6145082852083333,0.13760690004872728,4,Wind,FALSE,FALSE
Grass-Clover,Biogas digestate,Residue removed,Wind -20%,15.394599826060606,1.866592180612063,4,Wind,FALSE,FALSE
Winter Wheat,Biogas digestate,Residue removed,Wind -30%,8.70117366,0.6920941699859541,4,Wind,FALSE,FALSE
Spring Barley,Biogas digestate,Residue removed,Wind -30%,11.07102000275,1.460328320600118,4,Wind,FALSE,FALSE
Soybean,Biogas digestate,Residue removed,Wind -30%,5.963013125,0.2638604654774359,4,Wind,FALSE,FALSE
Ryegrass (undersown),Biogas digestate,Residue removed,Wind -30%,0.61351003475,0.13410006268511326,4,Wind,FALSE,FALSE
Grass-Clover,Biogas digestate,Residue removed,Wind -30%,15.409546197121212,1.874523217051591,4,Wind,FALSE,FALSE
Winter Wheat,Biogas digestate,Residue removed,Wind -40%,8.678898708333334,0.6833771350861793,4,Wind,FALSE,FALSE
Spring Barley,Biogas digestate,Residue removed,Wind -40%,11.087000131,1.4467235114726227,4,Wind,FALSE,FALSE
Soybean,Biogas digestate,Residue removed,Wind -40%,5.967060675,0.268259877102109,4,Wind,FALSE,FALSE
Ryegrass (undersown),Biogas digestate,Residue removed,Wind -40%,0.6148150595416666,0.1343103099765461,4,Wind,FALSE,FALSE
Grass-Clover,Biogas digestate,Residue removed,Wind -40%,15.42447497056818,1.8811597590572895,4,Wind,FALSE,FALSE
Winter Wheat,Biogas digestate,Residue removed,Wind -50%,8.647291749166666,0.6697608483970204,4,Wind,FALSE,FALSE
Spring Barley,Biogas digestate,Residue removed,Wind -50%,11.104957838999999,1.4302490208701835,4,Wind,FALSE,FALSE
Soybean,Biogas digestate,Residue removed,Wind -50%,5.9720477249999995,0.269960076861275,4,Wind,FALSE,FALSE
Ryegrass (undersown),Biogas digestate,Residue removed,Wind -50%,0.618871320875,0.1362738974006043,4,Wind,FALSE,FALSE
Grass-Clover,Biogas digestate,Residue removed,Wind -50%,15.438395583617424,1.8868933709249858,4,Wind,FALSE,FALSE
Winter Wheat,Biogas digestate,Residue removed,Wind -60%,8.589062659166666,0.6914968238530691,4,Wind,FALSE,FALSE
Spring Barley,Biogas digestate,Residue removed,Wind -60%,10.992165742666668,1.3867138778258687,4,Wind,FALSE,FALSE
Soybean,Biogas digestate,Residue removed,Wind -60%,5.981545866666666,0.26601915098060397,4,Wind,FALSE,FALSE
Ryegrass (undersown),Biogas digestate,Residue removed,Wind -60%,0.6183204849166667,0.13382754983598874,4,Wind,FALSE,FALSE
Grass-Clover,Biogas digestate,Residue removed,Wind -60%,14.971738095757576,2.509953786961377,4,Wind,FALSE,FALSE
Winter Wheat,Biogas digestate,Residue removed,Wind -70%,8.564986335,0.6863632639620683,4,Wind,FALSE,FALSE
Spring Barley,Biogas digestate,Residue removed,Wind -70%,11.012284373416666,1.3599160722034587,4,Wind,FALSE,FALSE
Soybean,Biogas digestate,Residue removed,Wind -70%,5.990343416666667,0.26204674919457277,4,Wind,FALSE,FALSE
Ryegrass (undersown),Biogas digestate,Residue removed,Wind -70%,0.6209118903333334,0.1355442549733828,4,Wind,FALSE,FALSE
Grass-Clover,Biogas digestate,Residue removed,Wind -70%,14.984968682344697,2.518673617140557,4,Wind,FALSE,FALSE
