simulation_id,scenario_unit,reference_type,run_id,soil,rotation,rotation_code,fertilisation,residue,weather_scenario,weather_factor,weather_direction,weather_change_pct,weather_signed_change_pct,strip_position,weather_is_baseline
SIM0042,degC,Perturbation from VAPV 0-level,foulum_Rotation1DigRem_weatherTmp2upCenter,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherTmp2upCenter,Temperature,Increase,2,2,Center,FALSE
SIM0043,degC,Perturbation from VAPV 0-level,foulum_Rotation1DigRem_weatherTmp3upCenter,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherTmp3upCenter,Temperature,Increase,3,3,Center,FALSE
SIM0044,percent,Perturbation from VAPV 0-level,foulum_Rotation1DigRem_weatherWin70dwnCenter,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherWin70dwnCenter,Wind,Decrease,70,-70,Center,FALSE
SIM0045,percent,Perturbation from VAPV 0-level,foulum_Rotation1DigRem_weatherWin60dwnCenter,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherWin60dwnCenter,Wind,Decrease,60,-60,Center,FALSE
SIM0046,percent,Perturbation from VAPV 0-level,foulum_Rotation1DigRem_weatherWin50dwnCenter,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherWin50dwnCenter,Wind,Decrease,50,-50,Center,FALSE
SIM0047,percent,Perturbation from VAPV 0-level,foulum_Rotation1DigRem_weatherWin40dwnCenter,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherWin40dwnCenter,Wind,Decrease,40,-40,Center,FALSE
SIM0048,percent,Perturbation from VAPV 0-level,foulum_Rotation1DigRem_weatherWin30dwnCenter,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherWin30dwnCenter,Wind,Decrease,30,-30,Center,FALSE
SIM0049,percent,Perturbation from VAPV 0-level,foulum_Rotation1DigRem_weatherWin20dwnCenter,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherWin20dwnCenter,Wind,Decrease,20,-20,Center,FALSE
SIM0050,percent,VAPV 0-level (modelled microclimate),foulum_Rotation1DigRem_weatherWin0Center,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherWin0Center,Wind,No change,0,0,Center,FALSE
SIM0051,percent,VAPV 0-level (modelled microclimate),foulum_Rotation1DigRem_weatherWin0East,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherWin0East,Wind,No change,0,0,East,FALSE
SIM0052,percent,VAPV 0-level (modelled microclimate),foulum_Rotation1DigRem_weatherWin0West,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherWin0West,Wind,No change,0,0,West,FALSE
SIM0053,NA,Open-field baseline,foulum_Rotation1DigRet_weatherBaselineopen,foulum,Rotation 1,1,Biogas digestate,Residue Retained,weatherBaselineopen,Baseline,No change,0,0,Open field,TRUE
SIM0054,percent,Perturbation from VAPV 0-level,foulum_Rotation1DigRet_weatherRad30dwnCenter,foulum,Rotation 1,1,Biogas digestate,Residue Retained,weatherRad30dwnCenter,Radiation,Decrease,30,-30,Center,FALSE
SIM0055,percent,Perturbation from VAPV 0-level,foulum_Rotation1DigRet_weatherRad20dwnCenter,foulum,Rotation 1,1,Biogas digestate,Residue Retained,weatherRad20dwnCenter,Radiation,Decrease,20,-20,Center,FALSE
SIM0056,percent,Perturbation from VAPV 0-level,foulum_Rotation1DigRet_weatherRad10dwnCenter,foulum,Rotation 1,1,Biogas digestate,Residue Retained,weatherRad10dwnCenter,Radiation,Decrease,10,-10,Center,FALSE
SIM0057,percent,Perturbation from VAPV 0-level,foulum_Rotation1DigRet_weatherRad5dwnCenter,foulum,Rotation 1,1,Biogas digestate,Residue Retained,weatherRad5dwnCenter,Radiation,Decrease,5,-5,Center,FALSE
SIM0058,percent,VAPV 0-level (modelled microclimate),foulum_Rotation1DigRet_weatherRad0Center,foulum,Rotation 1,1,Biogas digestate,Residue Retained,weatherRad0Center,Radiation,No change,0,0,Center,FALSE
SIM0059,percent,VAPV 0-level (modelled microclimate),foulum_Rotation1DigRet_weatherRad0East,foulum,Rotation 1,1,Biogas digestate,Residue Retained,weatherRad0East,Radiation,No change,0,0,East,FALSE
SIM0060,percent,VAPV 0-level (modelled microclimate),foulum_Rotation1DigRet_weatherRad0West,foulum,Rotation 1,1,Biogas digestate,Residue Retained,weatherRad0West,Radiation,No change,0,0,West,FALSE
SIM0061,degC,Perturbation from VAPV 0-level,foulum_Rotation1DigRet_weatherTmp3dwnCenter,foulum,Rotation 1,1,Biogas digestate,Residue Retained,weatherTmp3dwnCenter,Temperature,Decrease,3,-3,Center,FALSE
SIM0062,degC,Perturbation from VAPV 0-level,foulum_Rotation1DigRet_weatherTmp2dwnCenter,foulum,Rotation 1,1,Biogas digestate,Residue Retained,weatherTmp2dwnCenter,Temperature,Decrease,2,-2,Center,FALSE
SIM0063,degC,VAPV 0-level (modelled microclimate),foulum_Rotation1DigRet_weatherTmp0Center,foulum,Rotation 1,1,Biogas digestate,Residue Retained,weatherTmp0Center,Temperature,No change,0,0,Center,FALSE
SIM0064,degC,VAPV 0-level (modelled microclimate),foulum_Rotation1DigRet_weatherTmp0East,foulum,Rotation 1,1,Biogas digestate,Residue Retained,weatherTmp0East,Temperature,No change,0,0,East,FALSE
SIM0065,degC,VAPV 0-level (modelled microclimate),foulum_Rotation1DigRet_weatherTmp0West,foulum,Rotation 1,1,Biogas digestate,Residue Retained,weatherTmp0West,Temperature,No change,0,0,West,FALSE
SIM0066,degC,Perturbation from VAPV 0-level,foulum_Rotation1DigRet_weatherTmp0p5upCenter,foulum,Rotation 1,1,Biogas digestate,Residue Retained,weatherTmp0p5upCenter,Temperature,Increase,0.5,0.5,Center,FALSE
SIM0067,degC,Perturbation from VAPV 0-level,foulum_Rotation1DigRet_weatherTmp1upCenter,foulum,Rotation 1,1,Biogas digestate,Residue Retained,weatherTmp1upCenter,Temperature,Increase,1,1,Center,FALSE
SIM0068,degC,Perturbation from VAPV 0-level,foulum_Rotation1DigRet_weatherTmp2upCenter,foulum,Rotation 1,1,Biogas digestate,Residue Retained,weatherTmp2upCenter,Temperature,Increase,2,2,Center,FALSE
SIM0069,degC,Perturbation from VAPV 0-level,foulum_Rotation1DigRet_weatherTmp3upCenter,foulum,Rotation 1,1,Biogas digestate,Residue Retained,weatherTmp3upCenter,Temperature,Increase,3,3,Center,FALSE
